word,code
ace,___a_ce___
ache,___a_che__
act,___a_ct___
ad,___a_d____
add,___a_dd___
age,___a_ge___
ah,___a_h____
aid,___aid____
aide,___aide___
aids,___aids___
aim,___aim____
air,___air____
aisle,___aisle__
al,___a_l____
all,___a_ll___
am,___a_m____
an,___a_n____
and,___a_nd___
anne,___a_nne__
ant,___a_nt___
ape,___a_pe___
arch,___a_rch__
are,___a_re___
ark,___a_rk___
arm,___a_rm___
armed,___a_rmed_
arms,___a_rms__
art,___a_rt___
arts,___a_rts__
as,___a_s____
ash,___a_sh___
ask,___a_sk___
asked,___a_sked_
asks,___a_sks__
ass,___a_ss___
at,___a_t____
ate,___a_te___
aunt,___aunt___
aunts,___aunts__
ax,___a_x____
axe,___a_xe___
aye,___aye____
ba,__ba______
babe,__ba_be___
back,__ba_ck___
backed,__ba_cked_
bad,__ba_d____
bade,__ba_de___
badge,__ba_dge__
bag,__ba_g____
bags,__ba_gs___
bait,__bait____
baits,__baits___
bake,__ba_ke___
baked,__ba_ked__
bald,__ba_ld___
bale,__ba_le___
ball,__ba_ll___
balls,__ba_lls__
bam,__ba_m____
band,__ba_nd___
bands,__ba_nds__
bang,__ba_ng___
banged,__ba_nged_
bank,__ba_nk___
bar,__ba_r____
bare,__ba_re___
bark,__ba_rk___
barked,__ba_rked_
barn,__ba_rn___
bars,__ba_rs___
bas,__ba_s____
base,__ba_se___
bash,__ba_sh___
bass,__ba_ss___
bat,__ba_t____
batch,__ba_tch__
bath,__ba_th___
bathe,__ba_the__
bats,__ba_ts___
bay,__bay_____
be,__be______
beach,__beach___
bead,__bead____
beak,__beak____
beam,__beam____
bean,__bean____
beans,__beans___
bear,__bear____
beard,__beard___
bears,__bears___
beast,__beast___
beat,__beat____
bed,__be_d____
beds,__be_ds___
bee,__bee_____
beef,__beef____
been,__been____
beep,__beep____
beer,__beer____
bees,__bees____
beet,__beet____
beg,__be_g____
begged,__be_gged_
beige,__beige___
belch,__be_lch__
bell,__be_ll___
bells,__be_lls__
belt,__be_lt___
ben,__be_n____
bench,__be_nch__
bend,__be_nd___
bends,__be_nds__
bent,__be_nt___
best,__be_st___
bet,__be_t____
bib,__bi_b____
bid,__bi_d____
big,__bi_g____
bike,__bi_ke___
bikes,__bi_kes__
bill,__bi_ll___
bin,__bi_n____
bing,__bi_ng___
bird,__bi_rd___
birds,__bi_rds__
birth,__bi_rth__
bit,__bi_t____
bite,__bi_te___
bites,__bi_tes__
bits,__bi_ts___
blab,_bla_b____
black,_bla_ck___
blade,_bla_de___
blah,_bla_h____
blame,_bla_me___
bland,_bla_nd___
blank,_bla_nk___
blast,_bla_st___
blaze,_bla_ze___
bleach,_bleach___
bleed,_bleed____
bless,_ble_ss___
blessed,_ble_ssed_
blew,_blew_____
blimp,_bli_mp___
blind,_bli_nd___
blink,_bli_nk___
blinked,_bli_nked_
blob,_blo_b____
block,_blo_ck___
blocks,_blo_cks__
blond,_blo_nd___
blonde,_blo_nde__
blood,_blood____
bloom,_bloom____
bloomed,_bloomed__
blot,_blo_t____
blouse,_blouse___
blow,_blow_____
blown,_blown____
blows,_blows____
blub,_blu_b____
blue,_blue_____
bluff,_blu_ff___
blur,_blu_r____
blurt,_blu_rt___
blush,_blu_sh___
blushed,_blu_shed_
bo,__bo______
board,__board___
boast,__boast___
boat,__boat____
boats,__boats___
bob,__bo_b____
boil,__boil____
boiled,__boiled__
bold,__bo_ld___
bolt,__bo_lt___
bomb,__bo_mb___
bon,__bo_n____
bone,__bo_ne___
bones,__bo_nes__
boo,__boo_____
boob,__boob____
book,__book____
books,__books___
boom,__boom____
boost,__boost___
boot,__boot____
booth,__booth___
boots,__boots___
bop,__bo_p____
bore,__bo_re___
bored,__bo_red__
born,__bo_rn___
boss,__bo_ss___
both,__bo_th___
bough,__bough___
bought,__bought__
bounce,__bounce__
bound,__bound___
bout,__bout____
bow,__bow_____
bowed,__bowed___
bowl,__bowl____
bowls,__bowls___
box,__bo_x____
boy,__boy_____
boys,__boys____
bra,_bra______
brace,_bra_ce___
brag,_bra_g____
braid,_braid____
braille,_braille__
brain,_brain____
brains,_brains___
branch,_bra_nch__
brand,_bra_nd___
brass,_bra_ss___
brat,_bra_t____
brave,_bra_ve___
bray,_bray_____
bread,_bread____
break,_break____
breaks,_breaks___
breast,_breast___
breasts,_breasts__
breath,_breath___
breathe,_breathe__
breathed,_breathed_
breed,_breed____
breeze,_breeze___
brick,_bri_ck___
bricks,_bri_cks__
bride,_bri_de___
bridge,_bri_dge__
brief,_brief____
bright,_bri_ght__
bring,_bri_ng___
brings,_bri_ngs__
broad,_broad____
broil,_broil____
broke,_bro_ke___
brook,_brook____
broom,_broom____
broth,_bro_th___
brought,_brought__
brown,_brown____
bruise,_bruise___
brunch,_bru_nch__
brush,_bru_sh___
brushed,_bru_shed_
buck,__bu_ck___
bud,__bu_d____
bug,__bu_g____
bugs,__bu_gs___
build,__build___
built,__built___
bulb,__bu_lb___
bulbs,__bu_lbs__
bulge,__bu_lge__
bull,__bu_ll___
bulls,__bu_lls__
bum,__bu_m____
bump,__bu_mp___
bumped,__bu_mped_
bumps,__bu_mps__
bun,__bu_n____
bunch,__bu_nch__
bunk,__bu_nk___
buns,__bu_ns___
bunt,__bu_nt___
burn,__bu_rn___
burned,__bu_rned_
burnt,__bu_rnt__
burp,__bu_rp___
burst,__bu_rst__
bus,__bu_s____
bush,__bu_sh___
but,__bu_t____
butt,__bu_tt___
buy,__buy_____
buzz,__bu_zz___
by,__by______
bye,__bye_____
cab,__ca_b____
cage,__ca_ge___
cake,__ca_ke___
cakes,__ca_kes__
calf,__ca_lf___
call,__ca_ll___
called,__ca_lled_
calls,__ca_lls__
calm,__ca_lm___
calve,__ca_lve__
came,__ca_me___
camp,__ca_mp___
can,__ca_n____
cane,__ca_ne___
canned,__ca_nned_
cans,__ca_ns___
cant,__ca_nt___
cap,__ca_p____
cape,__ca_pe___
caped,__ca_ped__
caps,__ca_ps___
car,__ca_r____
card,__ca_rd___
cards,__ca_rds__
care,__ca_re___
cared,__ca_red__
carl,__ca_rl___
cars,__ca_rs___
cart,__ca_rt___
carve,__ca_rve__
case,__ca_se___
cash,__ca_sh___
cast,__ca_st___
cat,__ca_t____
catch,__ca_tch__
cats,__ca_ts___
caught,__caught__
cause,__cause___
cave,__ca_ve___
caw,__caw_____
cent,__ce_nt___
cents,__ce_nts__
chain,_chain____
chains,_chains___
chair,_chair____
chairs,_chairs___
chalk,_cha_lk___
champ,_cha_mp___
chance,_cha_nce__
chang,_cha_ng___
change,_cha_nge__
changed,_cha_nged_
chant,_cha_nt___
charge,_cha_rge__
charm,_cha_rm___
charms,_cha_rms__
chart,_cha_rt___
chase,_cha_se___
chased,_cha_sed__
chat,_cha_t____
cheap,_cheap____
cheat,_cheat____
check,_che_ck___
checked,_che_cked_
cheek,_cheek____
cheeks,_cheeks___
cheep,_cheep____
cheer,_cheer____
cheered,_cheered__
cheers,_cheers___
cheese,_cheese___
chef,_che_f____
chess,_che_ss___
chest,_che_st___
chew,_chew_____
chewed,_chewed___
chick,_chi_ck___
chicks,_chi_cks__
chief,_chief____
child,_chi_ld___
chill,_chi_ll___
chills,_chi_lls__
chime,_chi_me___
chimp,_chi_mp___
chin,_chi_n____
chip,_chi_p____
chips,_chi_ps___
chirp,_chi_rp___
chirped,_chi_rped_
choice,_choice___
choir,_choir____
choke,_cho_ke___
chomp,_cho_mp___
choo,_choo_____
choose,_choose___
chop,_cho_p____
chopped,_cho_pped_
chore,_cho_re___
chores,_cho_res__
chose,_cho_se___
chow,_chow_____
chrome,chro_me___
chuck,_chu_ck___
chug,_chu_g____
chunk,_chu_nk___
church,_chu_rch__
churn,_chu_rn___
chute,_chu_te___
clack,_cla_ck___
clam,_cla_m____
clang,_cla_ng___
clank,_cla_nk___
clap,_cla_p____
clapped,_cla_pped_
clark,_cla_rk___
clash,_cla_sh___
clasp,_cla_sp___
class,_cla_ss___
claw,_claw_____
claws,_claws____
clay,_clay_____
clean,_clean____
cleaned,_cleaned__
cleanse,_cleanse__
clear,_clear____
cleared,_cleared__
cleat,_cleat____
clerk,_cle_rk___
click,_cli_ck___
cliff,_cli_ff___
climb,_cli_mb___
climbed,_cli_mbed_
cling,_cli_ng___
clip,_cli_p____
cloak,_cloak____
clock,_clo_ck___
clocks,_clo_cks__
clone,_clo_ne___
close,_clo_se___
closed,_clo_sed__
cloth,_clo_th___
clothe,_clo_the__
clothes,_clo_thes_
cloud,_cloud____
clouds,_clouds___
clown,_clown____
club,_clu_b____
cluck,_clu_ck___
clucked,_clu_cked_
clue,_clue_____
clump,_clu_mp___
clunk,_clu_nk___
coach,__coach___
coal,__coal____
coast,__coast___
coat,__coat____
cob,__co_b____
cock,__co_ck___
code,__co_de___
coin,__coin____
coke,__co_ke___
cold,__co_ld___
cole,__co_le___
colt,__co_lt___
comb,__co_mb___
come,__co_me___
comes,__co_mes__
cone,__co_ne___
coo,__coo_____
cook,__cook____
cooked,__cooked__
cool,__cool____
coop,__coop____
cop,__co_p____
cord,__co_rd___
core,__co_re___
cork,__co_rk___
corn,__co_rn___
cost,__co_st___
cot,__co_t____
couch,__couch___
cough,__cough___
coughed,__coughed_
could,__could___
count,__count___
coupe,__coupe___
course,__course__
court,__court___
cow,__cow_____
cows,__cows____
crab,_cra_b____
crack,_cra_ck___
cracked,_cra_cked_
craft,_cra_ft___
cramp,_cra_mp___
crane,_cra_ne___
cranes,_cra_nes__
crap,_cra_p____
crash,_cra_sh___
crashed,_cra_shed_
crate,_cra_te___
crawl,_crawl____
crawled,_crawled__
crawls,_crawls___
crazed,_cra_zed__
creak,_creak____
cream,_cream____
crease,_crease___
creek,_creek____
creep,_creep____
crept,_cre_pt___
crew,_crew_____
crib,_cri_b____
crick,_cri_ck___
cried,_cried____
cries,_cries____
crime,_cri_me___
crimp,_cri_mp___
crisp,_cri_sp___
croak,_croak____
crook,_crook____
crop,_cro_p____
cross,_cro_ss___
crossed,_cro_ssed_
crotch,_cro_tch__
crouch,_crouch___
crow,_crow_____
crowd,_crowd____
crowed,_crowed___
crown,_crown____
crows,_crows____
crud,_cru_d____
crumb,_cru_mb___
crumbs,_cru_mbs__
crunch,_cru_nch__
crush,_cru_sh___
crust,_cru_st___
crusts,_cru_sts__
crutch,_cru_tch__
cry,_cry______
cub,__cu_b____
cube,__cu_be___
cubs,__cu_bs___
cuff,__cu_ff___
cup,__cu_p____
cups,__cu_ps___
curb,__cu_rb___
cure,__cu_re___
curl,__cu_rl___
curls,__cu_rls__
curse,__cu_rse__
curve,__cu_rve__
curved,__cu_rved_
cuss,__cu_ss___
cut,__cu_t____
cute,__cu_te___
da,__da______
dab,__da_b____
dad,__da_d____
dam,__da_m____
dame,__da_me___
damn,__da_mn___
damp,__da_mp___
dance,__da_nce__
danced,__da_nced_
dare,__da_re___
dared,__da_red__
dark,__da_rk___
darn,__da_rn___
dart,__da_rt___
darts,__da_rts__
dash,__da_sh___
dashed,__da_shed_
date,__da_te___
dawn,__dawn____
day,__day_____
days,__days____
de,__de______
dead,__dead____
deaf,__deaf____
deal,__deal____
dear,__dear____
death,__death___
deck,__de_ck___
dee,__dee_____
deeds,__deeds___
deep,__deep____
deer,__deer____
dell,__de_ll___
den,__de_n____
dent,__de_nt___
desk,__de_sk___
dew,__dew_____
dial,__dial____
dice,__di_ce___
did,__di_d____
die,__die_____
died,__died____
dig,__di_g____
digs,__di_gs___
dill,__di_ll___
dim,__di_m____
dime,__di_me___
din,__di_n____
dine,__di_ne___
ding,__di_ng___
dip,__di_p____
dirt,__di_rt___
dish,__di_sh___
disk,__di_sk___
ditch,__di_tch__
dive,__di_ve___
do,__do______
doc,__do_c____
dock,__do_ck___
dodge,__do_dge__
doe,__doe_____
does,__does____
dog,__do_g____
dogs,__do_gs___
doll,__do_ll___
dolls,__do_lls__
dome,__do_me___
don,__do_n____
done,__do_ne___
dong,__do_ng___
door,__door____
doors,__doors___
dork,__do_rk___
dot,__do_t____
doth,__do_th___
dots,__do_ts___
doubt,__doubt___
dough,__dough___
dove,__do_ve___
down,__down____
doze,__do_ze___
draft,_dra_ft___
drag,_dra_g____
dragged,_dra_gged_
drain,_drain____
drake,_dra_ke___
drank,_dra_nk___
drapes,_dra_pes__
drat,_dra_t____
draw,_draw_____
drawn,_drawn____
dream,_dream____
dreamed,_dreamed__
dreams,_dreams___
dress,_dre_ss___
dressed,_dre_ssed_
drew,_drew_____
dried,_dried____
drift,_dri_ft___
drifts,_dri_fts__
drill,_dri_ll___
drink,_dri_nk___
drip,_dri_p____
drive,_dri_ve___
drives,_dri_ves__
drool,_drool____
drop,_dro_p____
dropped,_dro_pped_
drops,_dro_ps___
drought,_drought__
drove,_dro_ve___
drown,_drown____
drowned,_drowned__
drug,_dru_g____
drum,_dru_m____
drums,_dru_ms___
dry,_dry______
duck,__du_ck___
ducks,__du_cks__
dud,__du_d____
dude,__du_de___
due,__due_____
dug,__du_g____
duke,__du_ke___
dull,__du_ll___
dumb,__du_mb___
dump,__du_mp___
dumped,__du_mped_
dune,__du_ne___
dunk,__du_nk___
dusk,__du_sk___
dust,__du_st___
dwarf,_dwa_rf___
dwell,_dwe_ll___
dye,__dye_____
each,___each___
ear,___ear____
earn,___earn___
ears,___ears___
earth,___earth__
east,___east___
eat,___eat____
eats,___eats___
ed,___e_d____
edge,___e_dge__
eek,___eek____
eel,___eel____
egg,___e_gg___
eggs,___e_ggs__
eight,___eight__
eighth,___eighth_
elf,___e_lf___
elk,___e_lk___
else,___e_lse__
elves,___e_lves_
em,___e_m____
end,___e_nd___
ends,___e_nds__
etch,___e_tch__
eve,___e_ve___
ex,___e_x____
eye,___eye____
eyed,___eyed___
eyes,___eyes___
face,__fa_ce___
faced,__fa_ced__
fact,__fa_ct___
fade,__fa_de___
fail,__fail____
failed,__failed__
faint,__faint___
fair,__fair____
faith,__faith___
fake,__fa_ke___
fall,__fa_ll___
falls,__fa_lls__
false,__fa_lse__
fame,__fa_me___
fan,__fa_n____
fang,__fa_ng___
far,__fa_r____
fare,__fa_re___
farm,__fa_rm___
fart,__fa_rt___
fast,__fa_st___
fat,__fa_t____
fault,__fault___
fawn,__fawn____
fear,__fear____
feast,__feast___
fed,__fe_d____
fee,__fee_____
feed,__feed____
feeds,__feeds___
feel,__feel____
feels,__feels___
feet,__feet____
fell,__fe_ll___
felt,__fe_lt___
fence,__fe_nce__
fern,__fe_rn___
fetch,__fe_tch__
fetched,__fe_tched
few,__few_____
fib,__fi_b____
fie,__fie_____
field,__field___
fields,__fields__
fierce,__fierce__
fifth,__fi_fth__
fig,__fi_g____
fight,__fi_ght__
fights,__fi_ghts_
file,__fi_le___
fill,__fi_ll___
filled,__fi_lled_
film,__fi_lm___
filth,__fi_lth__
fin,__fi_n____
finch,__fi_nch__
find,__fi_nd___
finds,__fi_nds__
fine,__fi_ne___
fink,__fi_nk___
fir,__fi_r____
fire,__fi_re___
fired,__fi_red__
first,__fi_rst__
fish,__fi_sh___
fist,__fi_st___
fit,__fi_t____
fits,__fi_ts___
five,__fi_ve___
fix,__fi_x____
fixed,__fi_xed__
fizz,__fi_zz___
flag,_fla_g____
flair,_flair____
flake,_fla_ke___
flame,_fla_me___
flap,_fla_p____
flapped,_fla_pped_
flash,_fla_sh___
flashed,_fla_shed_
flat,_fla_t____
flea,_flea_____
fleas,_fleas____
fled,_fle_d____
flee,_flee_____
flesh,_fle_sh___
flew,_flew_____
flex,_fle_x____
flick,_fli_ck___
flies,_flies____
flight,_fli_ght__
flinch,_fli_nch__
fling,_fli_ng___
flip,_fli_p____
flirt,_fli_rt___
float,_float____
floats,_floats___
flock,_flo_ck___
flood,_flood____
floor,_floor____
floors,_floors___
flop,_flo_p____
floss,_flo_ss___
flour,_flour____
flow,_flow_____
flown,_flown____
flu,_flu______
fluff,_flu_ff___
flung,_flu_ng___
flunk,_flu_nk___
flush,_flu_sh___
flute,_flu_te___
fly,_fly______
foal,__foal____
foam,__foam____
fog,__fo_g____
foil,__foil____
fold,__fo_ld___
folk,__fo_lk___
folks,__fo_lks__
fond,__fo_nd___
food,__food____
fool,__fool____
foot,__foot____
for,__fo_r____
force,__fo_rce__
ford,__fo_rd___
fork,__fo_rk___
form,__fo_rm___
fort,__fo_rt___
forth,__fo_rth__
fought,__fought__
foul,__foul____
found,__found___
four,__four____
fourth,__fourth__
fowl,__fowl____
fox,__fo_x____
frame,_fra_me___
france,_fra_nce__
freak,_freak____
fred,_fre_d____
free,_free_____
freeze,_freeze___
freight,_freight__
french,_fre_nch__
fresh,_fre_sh___
fret,_fre_t____
fridge,_fri_dge__
fried,_fried____
friend,_friend___
friends,_friends__
fright,_fri_ght__
frill,_fri_ll___
fritz,_fri_tz___
frizz,_fri_zz___
frog,_fro_g____
frogs,_fro_gs___
from,_fro_m____
front,_fro_nt___
frost,_fro_st___
frown,_frown____
frowned,_frowned__
fruit,_fruit____
fruits,_fruits___
fry,_fry______
fudge,__fu_dge__
fuel,__fuel____
full,__fu_ll___
fume,__fu_me___
fun,__fu_n____
fur,__fu_r____
fuss,__fu_ss___
fuzz,__fu_zz___
gag,__ga_g____
gain,__gain____
gal,__ga_l____
game,__ga_me___
games,__ga_mes__
gang,__ga_ng___
gap,__ga_p____
gas,__ga_s____
gash,__ga_sh___
gasp,__ga_sp___
gasped,__ga_sped_
gate,__ga_te___
gave,__ga_ve___
gay,__gay_____
gaze,__ga_ze___
gazed,__ga_zed__
gear,__gear____
gee,__gee_____
geese,__geese___
gel,__ge_l____
gem,__ge_m____
george,__george__
germ,__ge_rm___
germs,__ge_rms__
get,__ge_t____
gets,__ge_ts___
ghost,_gho_st___
gift,__gi_ft___
gill,__gi_ll___
girl,__gi_rl___
girls,__gi_rls__
give,__gi_ve___
gives,__gi_ves__
glad,_gla_d____
glance,_gla_nce__
glanced,_gla_nced_
glass,_gla_ss___
glaze,_gla_ze___
glazed,_gla_zed__
glide,_gli_de___
glob,_glo_b____
globe,_glo_be___
gloom,_gloom____
glove,_glo_ve___
gloved,_glo_ved__
gloves,_glo_ves__
glow,_glow_____
glue,_glue_____
gnome,_gno_me___
go,__go______
goal,__goal____
goat,__goat____
goats,__goats___
god,__go_d____
goes,__goes____
gold,__go_ld___
golf,__go_lf___
gone,__go_ne___
goo,__goo_____
good,__good____
goods,__goods___
goof,__goof____
goose,__goose___
gore,__go_re___
gosh,__go_sh___
got,__go_t____
gourd,__gourd___
gown,__gown____
grab,_gra_b____
grabbed,_gra_bbed_
grace,_gra_ce___
grade,_gra_de___
grain,_grain____
gran,_gra_n____
grand,_gra_nd___
grape,_gra_pe___
grapes,_gra_pes__
graph,_gra_ph___
